Time,Data,Attack
0,139,0
1,284,0
2,199,0
3,150,0
4,175,0
5,118,0
6,70,0
7,82,0
8,129,0
9,131,0
10,140,0
11,99,0
12,173,0
13,35,0
14,70,0
15,111,0
16,91,0
17,44,0
18,169,0
19,80,0
20,41,0
21,32,0
22,90,0
23,865,1
24,1051,1
25,1507,1
26,1795,1
27,2008,1
28,2303,1
29,2293,1
30,2286,1
31,2826,1
32,2543,1
33,2375,1
34,2629,1
35,2195,1
36,2341,1
37,2790,1
38,2460,1
39,1981,1
40,2892,1
41,2518,1
42,1815,1
43,2323,1
44,2022,1
45,2311,1
46,3250,1
47,2276,1
48,2449,1
49,2713,1
50,2575,1
51,2317,1
52,2666,1
53,2492,1
54,2428,1
55,2603,1
56,12332,1
57,20211,1
58,14546,1
59,19610,1
60,13627,1
61,16843,1
62,15783,1
63,7644,1
64,5569,1
65,8432,1
66,3891,1
67,10149,1
68,13673,1
69,15042,1
70,6078,1
71,8866,1
72,10435,1
73,16468,1
74,9987,1
75,3975,1
76,4435,1
77,4234,1
78,3643,1
79,3821,1
80,3907,1
81,4603,1
82,4073,1
83,4058,1
84,4190,1
85,4230,1
86,4489,1
87,3798,1
88,4252,1
89,4053,1
90,4615,1
91,3952,1
92,3899,1
93,3783,1
94,4230,1
95,4491,1
96,4445,1
97,4199,1
98,3851,1
99,4375,1
100,3751,1
101,85,0
102,58,0
103,42,0
104,175,0
105,58,0
106,77,0
107,28,0
108,139,0
109,135,0
110,83,0
111,149,0
112,148,0
113,244,0
114,163,0
115,138,0
116,231,0
117,161,0
118,96,0
119,249,0
120,104,0
121,208,0
122,4,0
